A,B,C,D,E,F
12,15.05,1,38.97,-8.20851,-22.5526
13,20.28,17,279.21,34.193,70.1059
35,130.39,26,414.37,-70.8442,-39.2696
3,-30.01,14,234.15,54.6699,52.794
0,-44.63,35,549.51,-25.7883,-60.7533
0,-44.64,13,219.5,80.0927,58.1907
9,0.29,12,204.23,-38.3133,-19.5216
6,-14.59,4,84.09,-1.36808,-3.75877
18,45.56,10,174.09,-20.1853,-58.6221
1,-39.65,6,114.25,56.5087,30.0462
1,-39.59,32,504.11,16.168,5.25328
7,-9.97,27,428.97,-65.769,-12.7842
34,125.48,0,24.36,-4.87185,-1.12475
6,-14.7,28,444.33,82.8215,19.1208
2,-34.85,8,144.18,-10.3823,-7.82359
26,84.97,16,264.55,-47.6792,-25.3514
33,120.5,12,204.37,-73.3611,-15.5934
17,40.37,28,444.06,11.6128,28.7427
18,45.14,36,564.35,4.01479,4.45887
8,-4.75,23,369.53,0.891007,0.45399
28,95.16,14,234.13,21.2224,30.3086
1,-39.61,34,534.3,1.22021,2.74064
10,5.49,31,489.27,18.7111,9.53379
25,80.48,20,324.3,-5.33291,-9.62081
18,45.46,26,414.39,-43.0183,-61.4364
16,35.22,39,609.08,-82.0747,-55.3601
3,-30,11,189.26,65.1447,39.1429
1,-39.64,18,294.49,-81.0816,-41.3131
27,90.44,23,369.16,-15.3209,-12.8557
5,-19.84,34,534,80.3962,9.87141
15,30.46,17,279.32,-7.30836,-3.25389
16,35.13,22,354.16,-49.8469,-23.244
6,-14.45,9,159.13,-16.2166,-24.0421
28,95.15,38,594.41,44.1654,63.0747
29,100.31,9,159.32,85.1111,26.0211
27,90.02,12,204.02,62.9726,34.9063
16,34.97,32,504.15,8.02976,17.2198
20,55.42,28,443.99,30.2123,29.1756
25,79.99,29,459.2,-13.6412,-3.14931
13,20.24,4,84.12,-5.53467,-16.0738
37,139.99,23,369.06,13.3388,36.648
26,85.32,7,129.35,72.8592,43.7782
8,-4.97,4,84.26,-45.3111,-55.9545
0,-44.5,20,323.99,74.6283,46.6329
20,55.1,14,234.14,-25.3587,-88.4361
3,-29.57,24,384.43,-8.6987,-9.66088
13,20.3,39,608.97,-36.7393,-42.2637
26,85.01,30,474.27,-24.4703,-11.4107
8,-4.89,23,369.26,32.3566,15.7813
8,-4.95,37,579.11,-32.492,-89.2708
24,75.17,3,69.25,85.5289,8.98944
3,-29.52,36,563.99,-6.36397,-6.36396
19,50.07,37,579.38,-3.38095,-7.25046
12,15.5,16,264.24,10.88,8.81048
31,110.19,5,99.25,-42.5007,-11.388
25,80.49,3,69.06,-61.118,-29.8092
0,-44.67,13,219.25,37.7355,32.8029
29,100.46,38,594.23,29.7991,8.54475
8,-4.68,16,264.14,-14.7447,-10.3244
