A,B,C,D
1,13,47.02,-3.01
2,25,54.26,9.3
3,35,61.03,19.01
4,3,68.19,-12.92
5,29,75.21,13.29
6,21,82.3,5.3
7,6,89.09,-9.65
8,29,96.35,13.02
9,11,103.14,-4.79
10,28,110.05,12.21
11,2,117.1,-13.74
12,35,124.35,19.06
13,28,131.23,12.04
14,31,138.18,15.25
15,2,144.99,-13.92
16,33,152.2,17.32
17,17,159.26,1.35
18,14,166.07,-1.68
19,18,173.19,2.01
20,1,179.99,-15
21,16,187.33,0.12
22,36,194.29,20.01
23,37,201.17,21.18
24,3,208,-13.02
25,22,215.02,6.31
26,25,222.27,9.13
27,11,229.04,-4.66
28,9,236.1,-6.97
29,35,243.28,19.16
30,38,250.21,22.17
31,0,257.3,-15.95
32,6,264.18,-9.72
33,2,271.07,-13.93
34,22,278.02,6.09
35,15,285.25,-0.94
36,8,292.02,-7.65
37,16,299.13,0.34
38,12,306.22,-3.94
39,17,313.1,1.29
40,36,320.08,20.04
41,7,327.01,-8.72
42,6,334.07,-9.91
43,36,341.09,20.1
44,5,348.24,-10.85
45,9,355.31,-6.98
46,9,362.31,-6.94
47,38,369.07,22.13
48,34,376.19,18.3
49,3,383.29,-12.98
50,26,390.17,10.04
51,32,397.16,16.07
52,15,404.23,-0.83
53,26,411.19,10.2
54,38,418.17,22.06
55,15,425.18,-0.69
56,11,432.27,-4.75
57,11,439.25,-4.66
58,19,446.2,3.08
59,11,453.15,-4.69
60,15,460.01,-0.9
61,13,467.25,-2.8
62,23,474,7.05
63,2,481.18,-13.73
64,16,488.09,-0.02
65,17,495.16,1.18
66,10,502.2,-6.01
67,37,509.31,21.26
68,34,516.1,18
69,4,523.13,-11.83
70,37,530.2,21.12
71,1,537.34,-14.68
72,23,544.17,7.34
73,23,551.11,7.07
74,4,558.19,-11.82
75,4,565.36,-11.72
76,16,572.07,0.1
77,17,579.04,1.36
78,5,586.3,-11
79,0,593.26,-15.92
80,19,600.23,3.3
81,26,607.16,10.18
82,20,614.32,4.37
83,8,621.07,-7.98
84,17,628.11,1.24
85,29,635.07,13.22
86,12,642.23,-3.69
87,24,649,8.3
88,14,656.37,-1.78
89,17,663.37,1.11
90,27,670.09,11.28
91,11,677.27,-5.01
92,32,684.07,16.33
93,23,691.07,7.02
94,28,698.25,12.07
95,6,705.06,-9.84
96,30,712.18,14.33
97,16,719.35,0.27
98,0,726.09,-15.74
99,24,733.18,8.18
100,29,740.05,13.21
